,local_datetime,recordType,marketIndexDataProviderId,settlementDate,settlementPeriod,marketIndexPrice,marketIndexVolume,activeFlag
0,2015-01-01 00:00:00+00:00,MID,APXMIDP,2015-01-01,1,37.31,569.950,Y
1,2015-01-01 00:30:00+00:00,MID,APXMIDP,2015-01-01,2,38.20,511.250,Y
2,2015-01-01 01:00:00+00:00,MID,APXMIDP,2015-01-01,3,34.42,346.450,Y
3,2015-01-01 01:30:00+00:00,MID,APXMIDP,2015-01-01,4,30.78,376.950,Y
4,2015-01-01 02:00:00+00:00,MID,APXMIDP,2015-01-01,5,31.00,268.650,Y
5,2015-01-01 02:30:00+00:00,MID,APXMIDP,2015-01-01,6,29.55,478.550,Y
6,2015-01-01 03:00:00+00:00,MID,APXMIDP,2015-01-01,7,26.35,476.050,Y
7,2015-01-01 03:30:00+00:00,MID,APXMIDP,2015-01-01,8,25.62,525.250,Y
8,2015-01-01 04:00:00+00:00,MID,APXMIDP,2015-01-01,9,25.71,444.500,Y
9,2015-01-01 04:30:00+00:00,MID,APXMIDP,2015-01-01,10,25.37,506.750,Y
10,2015-01-01 05:00:00+00:00,MID,APXMIDP,2015-01-01,11,23.04,465.800,Y
11,2015-01-01 05:30:00+00:00,MID,APXMIDP,2015-01-01,12,22.68,480.200,Y
12,2015-01-01 06:00:00+00:00,MID,APXMIDP,2015-01-01,13,22.23,488.800,Y
13,2015-01-01 06:30:00+00:00,MID,APXMIDP,2015-01-01,14,23.78,491.550,Y
14,2015-01-01 07:00:00+00:00,MID,APXMIDP,2015-01-01,15,24.68,721.050,Y
15,2015-01-01 07:30:00+00:00,MID,APXMIDP,2015-01-01,16,24.36,646.200,Y
16,2015-01-01 08:00:00+00:00,MID,APXMIDP,2015-01-01,17,23.86,660.350,Y
17,2015-01-01 08:30:00+00:00,MID,APXMIDP,2015-01-01,18,23.63,757.950,Y
18,2015-01-01 09:00:00+00:00,MID,APXMIDP,2015-01-01,19,27.25,1026.550,Y
19,2015-01-01 09:30:00+00:00,MID,APXMIDP,2015-01-01,20,27.91,1003.100,Y
20,2015-01-01 10:00:00+00:00,MID,APXMIDP,2015-01-01,21,27.73,1030.900,Y
21,2015-01-01 10:30:00+00:00,MID,APXMIDP,2015-01-01,22,28.09,727.950,Y
22,2015-01-01 11:00:00+00:00,MID,APXMIDP,2015-01-01,23,38.24,888.050,Y
23,2015-01-01 11:30:00+00:00,MID,APXMIDP,2015-01-01,24,39.19,741.650,Y
24,2015-01-01 12:00:00+00:00,MID,APXMIDP,2015-01-01,25,39.83,633.500,Y
25,2015-01-01 12:30:00+00:00,MID,APXMIDP,2015-01-01,26,40.42,699.400,Y
26,2015-01-01 13:00:00+00:00,MID,APXMIDP,2015-01-01,27,40.90,702.100,Y
