,local_datetime,recordType,marketIndexDataProviderId,settlementDate,settlementPeriod,marketIndexPrice,marketIndexVolume,activeFlag,Pi*Ei,tlocaldate,solarunitsproduced(Esi),Esi*Pi,Sum Ei,Sum Pi*Ei,Avg Elec,Sum Esi,Sum Esi*Pi,Solar S.P,V.F
0,2023-01-01 00:00:00+00:00,MID,APXMIDP,01/01/2023,1,62.48,635.65,Y,39715.412,2023-01-01 00:00:00+00,0,0,12889340.65,1452580063,112.6962272,13504753,1247765333,92.39453201,0.819854704
1,2023-01-01 00:30:00+00:00,MID,APXMIDP,01/01/2023,2,103.42,557.1,Y,57615.282,2023-01-01 00:30:00+00,0,0,,,,,,,
2,2023-01-01 01:00:00+00:00,MID,APXMIDP,01/01/2023,3,122.1,593.7,Y,72490.77,2023-01-01 01:00:00+00,0,0,,,,,,,
3,2023-01-01 01:30:00+00:00,MID,APXMIDP,01/01/2023,4,52.75,784.45,Y,41379.7375,2023-01-01 01:30:00+00,0,0,,,,,,,
4,2023-01-01 02:00:00+00:00,MID,APXMIDP,01/01/2023,5,33.5,641.7,Y,21496.95,2023-01-01 02:00:00+00,0,0,,,,,,,
5,2023-01-01 02:30:00+00:00,MID,APXMIDP,01/01/2023,6,18.34,535.3,Y,9817.402,2023-01-01 02:30:00+00,0,0,,,,,,,
6,2023-01-01 03:00:00+00:00,MID,APXMIDP,01/01/2023,7,-20.28,490.2,Y,-9941.256,2023-01-01 03:00:00+00,0,0,,,,,,,
7,2023-01-01 03:30:00+00:00,MID,APXMIDP,01/01/2023,8,-31.6,450.2,Y,-14226.32,2023-01-01 03:30:00+00,0,0,,,,,,,
8,2023-01-01 04:00:00+00:00,MID,APXMIDP,01/01/2023,9,-25.43,387.8,Y,-9861.754,2023-01-01 04:00:00+00,0,0,,,,,,,
9,2023-01-01 04:30:00+00:00,MID,APXMIDP,01/01/2023,10,-1.61,557.4,Y,-897.414,2023-01-01 04:30:00+00,0,0,,,,,,,
10,2023-01-01 05:00:00+00:00,MID,APXMIDP,01/01/2023,11,6.53,689.45,Y,4502.1085,2023-01-01 05:00:00+00,0,0,,,,,,,
11,2023-01-01 05:30:00+00:00,MID,APXMIDP,01/01/2023,12,-5.53,581.95,Y,-3218.1835,2023-01-01 05:30:00+00,0,0,,,,,,,
12,2023-01-01 06:00:00+00:00,MID,APXMIDP,01/01/2023,13,-6.19,677.25,Y,-4192.1775,2023-01-01 06:00:00+00,0,0,,,,,,,
13,2023-01-01 06:30:00+00:00,MID,APXMIDP,01/01/2023,14,-6.32,595,Y,-3760.4,2023-01-01 06:30:00+00,0,0,,,,,,,
14,2023-01-01 07:00:00+00:00,MID,APXMIDP,01/01/2023,15,-15.47,762.25,Y,-11792.0075,2023-01-01 07:00:00+00,0,0,,,,,,,
15,2023-01-01 07:30:00+00:00,MID,APXMIDP,01/01/2023,16,-10.44,541.6,Y,-5654.304,2023-01-01 07:30:00+00,0,0,,,,,,,
